,Initiator,Responder,Start_time,End_time,Memory_size,Fidelity,Wait_time,Throughput
0,StarLight,Fermilab_1,1500000000000.0,21004636963259.0,10,0.9897298894274488,1500000000000.0,1.0766670530478382
1,StarLight,UChicago_PME,22204636963260.0,36437901452985.0,14,0.9655405187640884,1200000000000.0,13.349010702159092
2,Fermilab_1,Argonne_1,16618445000000.0,36009515534240.0,18,0.8161672047791205,16618445000000.0,4.12561028328679
3,Fermilab_2,Argonne_1,2500500000000.0,13039807023816.0,14,0.8571602760176283,2500500000000.0,1.613009276756486
4,Fermilab_2,UChicago_HC,25368627023817.0,42443582697188.0,10,0.8097515421454337,12328820000000.0,0.1756959173064564
5,Argonne_1,UChicago_HC,13504070000000.0,24572870785690.0,17,0.8748993531175765,13504070000000.0,4.968921300951162
6,Argonne_1,Argonne_2,25772870785691.0,40169448360813.0,12,0.9173698946888929,1200000000000.0,16.18440207640985
7,Argonne_2,Argonne_3,2700500000000.0,15702162849112.0,14,0.8450414379981184,2700500000000.0,7.614410644924669
8,Argonne_2,Argonne_1,17602162849113.0,35814447032940.0,10,0.9594138857504093,1900000000000.0,11.31104686928472
